pk,pk,strength
1018977,1019183,2741
1018980,1019183,151
1018980,1019183,486
1018980,1019183,2741
1019016,1019183,486
1019016,1019183,2741
1019120,1019183,151
1019120,1019183,486
1019120,1019183,2741
1019334,1019183,151
1019334,1019183,2741
1019541,1019183,151
1019541,1019183,426
1019541,1019183,2741
1020215,1019183,151
1020215,1019183,2161
1020215,1019183,2741
1020627,1019183,2741
1020960,1019183,151
1020960,1019183,486
1020960,1019183,2741
1038768,1019183,2161
1038768,1019183,2741
1042028,1019183,486
1042028,1019183,2892
1042098,1019183,151
1042098,1019183,2741
1047817,1019183,151
1047817,1019183,426
1047817,1019183,2741
1064235,1019183,151
1064235,1019183,2741
1018494,1019205,6087
1018511,1019205,6087
1020013,1019205,12205
1059965,1019205,12754
1019848,1019268,1461
1020751,1019268,5023
1029796,1019268,7853
1061577,1019268,3012
1018695,1019334,151
1018695,1019334,2741
1018732,1019334,151
1018732,1019334,2741
1018977,1019334,2741
1018980,1019334,151
1018980,1019334,2741
1019016,1019334,2741
1019120,1019334,151
1019120,1019334,2741
1019183,1019334,151
1019183,1019334,2741
1019541,1019334,151
1019541,1019334,2741
1020215,1019334,151
1020215,1019334,2741
1020627,1019334,2131
1020627,1019334,2741
1020960,1019334,151
1020960,1019334,2741
1038768,1019334,2741
1042028,1019334,2892
1042098,1019334,151
1042098,1019334,2131
1042098,1019334,2741
1047817,1019334,151
1047817,1019334,2741
1064235,1019334,151
1064235,1019334,2741
1018688,1019395,6240
1018822,1019395,9162
1020356,1019395,10897
1020820,1019395,7640
1021266,1019395,5114
1019409,1019403,6422
1019403,1019409,6422
1019952,1019535,11719
1020805,1019535,11719
1025410,1019535,12905
1018695,1019541,151
1018695,1019541,2741
1018732,1019541,151
1018732,1019541,2161
1018732,1019541,2741
1018977,1019541,486
1018977,1019541,2741
1018980,1019541,151
1018980,1019541,486
1018980,1019541,2741
1019016,1019541,486
1019016,1019541,2741
1019120,1019541,151
1019120,1019541,486
1019120,1019541,2741
1019183,1019541,151
1019183,1019541,426
1019183,1019541,2741
1019334,1019541,151
1019334,1019541,2741
1020215,1019541,151
1020215,1019541,2161
