pk,pk,strength
1138092,1019016,486
1138092,1019016,2741
1138092,1019016,5235
1141253,1019016,1612
1018973,1019079,2922
1088477,1019079,1035
1019594,1019111,4626
1057151,1019111,6787
1050956,1019117,6209
1018695,1019120,151
1018695,1019120,2741
1018732,1019120,151
1018732,1019120,2161
1018732,1019120,2741
1018973,1019120,486
1018977,1019120,486
1018977,1019120,2741
1018977,1019120,6908
1018980,1019120,151
1018980,1019120,486
1018980,1019120,2741
1018980,1019120,9618
1019016,1019120,486
1019016,1019120,2741
1019016,1019120,6543
1019183,1019120,151
1019183,1019120,486
1019183,1019120,2741
1019334,1019120,151
1019334,1019120,2741
1019541,1019120,151
1019541,1019120,486
1019541,1019120,2741
1020215,1019120,151
1020215,1019120,2161
1020215,1019120,2741
1020383,1019120,578
1038768,1019120,2161
1038768,1019120,2741
1042028,1019120,486
1042028,1019120,2892
1042028,1019120,6543
1042098,1019120,151
1042098,1019120,2741
1047817,1019120,151
1047817,1019120,486
1047817,1019120,2741
1050956,1019120,486
1064235,1019120,151
1064235,1019120,2741
1097986,1019120,151
1097986,1019120,486
1097986,1019120,2741
1097986,1019120,6543
1112521,1019120,486
1112521,1019120,2741
1112521,1019120,9100
1113636,1019120,151
1113636,1019120,2741
1134091,1019120,151
1138092,1019120,151
1138092,1019120,486
1138092,1019120,2741
1138092,1019120,6543
1155255,1019120,151
1018695,1019183,151
1018695,1019183,2741
1018732,1019183,151
1018732,1019183,2161
1018732,1019183,2741
1018977,1019183,486
1018977,1019183,2741
1018980,1019183,151
1018980,1019183,486
1018980,1019183,2741
1019016,1019183,486
1019016,1019183,2741
1019120,1019183,151
1019120,1019183,486
1019120,1019183,2741
1019334,1019183,151
1019334,1019183,2741
1019541,1019183,151
1019541,1019183,426
1019541,1019183,2741
1020215,1019183,151
1020215,1019183,2161
1020215,1019183,2741
1038768,1019183,2161
1038768,1019183,2741
1042028,1019183,486
1042028,1019183,2892
1042098,1019183,151
1042098,1019183,2741
1047817,1019183,151
1047817,1019183,426
1047817,1019183,2741
1064235,1019183,151
1064235,1019183,2741
1097986,1019183,151
1097986,1019183,486
1097986,1019183,2741
1112521,1019183,486
1112521,1019183,2741
1113636,1019183,151
1113636,1019183,2741
1134091,1019183,151
1138092,1019183,151
1138092,1019183,486
1138092,1019183,2741
1155255,1019183,151
1018494,1019205,6087
1018511,1019205,6087
1020013,1019205,12205
1059965,1019205,12754
1019848,1019268,1461
1029796,1019268,7853
1061577,1019268,3012
1018695,1019334,151
1018695,1019334,2741
1018732,1019334,151
1018732,1019334,2741
1018977,1019334,2741
1018980,1019334,151
1018980,1019334,2741
1019016,1019334,2741
1019120,1019334,151
1019120,1019334,2741
1019183,1019334,151
1019183,1019334,2741
1019541,1019334,151
1019541,1019334,2741
1020215,1019334,151
1020215,1019334,2741
1038768,1019334,2741
1042028,1019334,2892
1042098,1019334,151
1042098,1019334,2131
1042098,1019334,2741
1047817,1019334,151
1047817,1019334,2741
1064235,1019334,151
1064235,1019334,2741
1097986,1019334,151
1097986,1019334,2741
1112521,1019334,2741
1113636,1019334,151
1113636,1019334,2741
1134091,1019334,151
1138092,1019334,151
1138092,1019334,2741
1155255,1019334,151
1140674,1019390,8157
1018688,1019395,6240
1018822,1019395,9162
1020356,1019395,10897
1021266,1019395,5114
1019409,1019403,6422
1019403,1019409,6422
1019952,1019535,11719
1025410,1019535,12905
1134585,1019535,11719
1158289,1019535,11719
1018695,1019541,151
1018695,1019541,2741
1018732,1019541,151
1018732,1019541,2161
1018732,1019541,2741
1018977,1019541,486
1018977,1019541,2741
1018980,1019541,151
1018980,1019541,486
1018980,1019541,2741
1019016,1019541,486
1019016,1019541,2741
1019120,1019541,151
1019120,1019541,486
1019120,1019541,2741
1019183,1019541,151
1019183,1019541,426
1019183,1019541,2741
1019334,1019541,151
1019334,1019541,2741
1020215,1019541,151
1020215,1019541,2161
1020215,1019541,2741
1038768,1019541,2161
1038768,1019541,2741
1042028,1019541,486
1042028,1019541,2892
1042098,1019541,151
1042098,1019541,2741
1047817,1019541,151
1047817,1019541,426
1047817,1019541,2741
1064235,1019541,151
1064235,1019541,2741
1097986,1019541,151
1097986,1019541,486
1097986,1019541,2741
1112521,1019541,486
1112521,1019541,2741
1113636,1019541,151
1113636,1019541,2741
1134091,1019541,151
1138092,1019541,151
1138092,1019541,486
1138092,1019541,2741
1155255,1019541,151
1018511,1019580,8006
1019602,1019580,8006
1020477,1019580,8006
1067955,1019580,8006
1087976,1019580,12601
1139836,1019580,10258
1018488,1019581,2861
1019593,1019581,2861
1019648,1019581,2861
1019648,1019581,8675
1019833,1019581,2861
1019847,1019581,2861
1020029,1019581,2861
1020029,1019581,8675
1020428,1019581,2861
1047265,1019581,2861
1062815,1019581,2861
1062815,1019581,8675
1088433,1019581,2861
1088433,1019581,8766
1113636,1019581,2861
1134140,1019581,2861
1134140,1019581,8675
1142018,1019581,2861
1142018,1019581,8675
1018488,1019593,1218
1019581,1019593,2861
1019648,1019593,2861
1019833,1019593,2861
1020029,1019593,2861
1020428,1019593,1218
1047265,1019593,2861
1060571,1019593,2010
1062815,1019593,2861
1088433,1019593,2861
1097935,1019593,1551
1113636,1019593,1218
1134140,1019593,2861
1142018,1019593,2861
1019111,1019594,4626
1057151,1019594,6787
1018511,1019602,2678
1018511,1019602,3165
1019580,1019602,8006
1020477,1019602,2557
1067955,1019602,943
1067955,1019602,1005
1087976,1019602,12601
1139836,1019602,10258
1019833,1019628,3318
1018488,1019648,2861
1019581,1019648,2861
1019581,1019648,8675
1019593,1019648,2861
1019833,1019648,2861
1019847,1019648,821
1019847,1019648,2861
1020029,1019648,821
1020029,1019648,2861
1020029,1019648,8675
1020428,1019648,2861
1047265,1019648,821
1047265,1019648,2861
1062815,1019648,821
1062815,1019648,2861
1062815,1019648,8675
1088433,1019648,2861
1088433,1019648,8766
1113636,1019648,2861
1134140,1019648,821
1134140,1019648,2861
1134140,1019648,8675
